Name,Price,Quantity,Last Update,Brand
Bagel - Whole White Sesame,430,97,2018-11-01,Einstein's
Sauce - Caesar Dressing,805,81,2018-12-28,Kraft
Shiratamako - Rice Flour,799,71,2018-03-07,Bob's Red Mill
Tart - Raisin And Pecan,106,86,2019-01-18,Delish
Radish,247,22,2018-11-06,Kroger
Juice - V8 Splash,125,67,2018-01-10,V8
Red Currants,677,49,2018-10-01,Kroger
Soup - Base Broth Beef,544,62,2019-03-09,Campbell's
Tomatoes Tear Drop Yellow,64,73,2019-02-09,Kroger
Mussels - Cultivated,934,24,2018-07-31,Kroger
"Bread - Crumbs, Bulk",449,88,2019-01-12,Kikkoman
"Beans - Long, Chinese",473,47,2018-09-22,Del Monte
"Beans - Navy, Dry",459,44,2018-01-20,Del Monte
Juice - V8 Splash,114,67,2018-01-13,V8
"Basil - Dry, Rubbed",869,21,2018-02-04,Kroger
Apple - Granny Smith,505,72,2018-01-12,Kroger
"Lid - High Heat, Super Clear",123,5,2018-02-09,Farberware
Oranges - Navel,478,46,2018-06-06,Kroger
Berry Brulee,759,50,2018-08-25,Kroger
Lobster - Canned Premium,761,57,2018-04-15,Kroger
Sauce - Caesar Dressing,825,16,2019-04-10,Kraft
Ham - Procutinni,570,8,2019-01-09,Kroger
Veal - Ground,767,5,2018-12-19,Kroger
Oil - Cooking Spray,420,6,2018-06-11,Pam
"Extract - Vanilla,artificial",291,20,2018-06-08,McCormick
"Mushroom - Porcini, Dry",814,71,2018-07-26,Kroger
Wine - Cabernet Sauvignon,741,54,2018-03-10,Chateau Bonnet
